Index,Graph,Flow Cost,Time (sec),Num Iters,,,
92,cambridge-500,9.36187992307638,0.205213785171509,25,,,
93,cambridge-500,10.5223191794194,0.19508695602417,29,,,
94,cambridge-500,12.2807328261561,6.05049872398376,1001,,,
95,cambridge-500,7.26307720000274,0.683078527450562,85,,,
96,cambridge-500,9.0878401793534,1.10715675354004,163,,,
97,cambridge-500,10.2959474703569,1.14950156211853,207,,,
98,cambridge-500,9.60602402375406,0.181936025619507,27,,,
99,cambridge-500,10.3366574805325,0.732418060302734,106,,,
100,cambridge-500,7.31376260449283,0.175839185714722,26,,,
101,cambridge-500,9.44016441392592,0.899576902389526,112,,,
102,cambridge-500,8.04866913458552,0.676333904266357,94,,,
103,cambridge-500,9.93483965459755,0.147689819335938,22,,,
104,cambridge-500,13.979445728458,0.185220003128052,21,,,
