Index,Graph,Flow Cost,Time (sec),Num Iters,,
89,sf-market-500,9.9334428252874,0.63484787940979,50,,
90,sf-market-500,7.19418727158848,0.458764791488647,32,,
91,sf-market-500,7.24192566962261,2.04492378234863,123,,
92,sf-market-500,7.59000073851442,0.52263617515564,34,,
93,sf-market-500,8.6287029228448,1.53071331977844,94,,
94,sf-market-500,7.13960312647668,0.610779523849487,42,,
95,sf-market-500,7.68274834873364,2.45649170875549,124,,
96,sf-market-500,7.38442659859022,0.413738012313843,28,,
97,sf-market-500,6.72551422788803,0.544414758682251,42,,
98,sf-market-500,7.09737385625708,0.579009771347046,40,,
99,sf-market-500,7.63087262760013,1.94216084480286,118,,
100,sf-market-500,7.12104321676667,0.401757001876831,29,,
101,sf-market-500,6.76447581928809,1.76578664779663,117,,
102,sf-market-500,7.31645127013605,0.69234561920166,48,,
103,sf-market-500,6.71720348757455,0.449260234832764,31,,
104,sf-market-500,8.21623380675251,0.396404981613159,28,,
105,sf-market-500,6.82775924962913,1.26631665229797,97,,
106,sf-market-500,6.97523884442744,0.401942491531372,29,,
107,sf-market-500,7.62087776462507,1.28271627426147,83,,
108,sf-market-500,7.51891425382801,0.713605880737305,43,,
109,sf-market-500,7.16489969949896,0.446931123733521,32,,
110,sf-market-500,7.38059416817905,2.07458591461182,154,,
111,sf-market-500,6.83805319030323,0.424359798431397,30,,
112,sf-market-500,6.82569695370409,1.94211983680725,134,,
113,sf-market-500,8.93079694779495,2.40001058578491,177,,
114,sf-market-500,10.3831396269575,2.03441381454468,135,,
115,sf-market-500,7.82396885447809,1.49124908447266,112,,
116,sf-market-500,7.32643913445771,0.429810762405396,31,,
117,sf-market-500,6.5909472519924,0.461047887802124,31,,
118,sf-market-500,7.14549160673451,0.4640212059021,36,,
119,sf-market-500,10.6375753406166,1.65398097038269,128,,
120,sf-market-500,8.45096553157644,1.7585232257843,111,,
121,sf-market-500,6.86754555561847,0.434713363647461,30,,
122,sf-market-500,7.08025469551337,1.71283769607544,153,,
123,sf-market-500,6.97320606832379,0.906243801116943,58,,
124,sf-market-500,7.12260246459378,1.96903657913208,143,,
125,sf-market-500,8.62222483256361,1.63540720939636,105,,
126,sf-market-500,7.73414316466898,0.610332727432251,47,,
127,sf-market-500,8.51704161426754,0.545273542404175,37,,
128,sf-market-500,8.60673285666269,1.35239720344543,118,,
