Test Instance,Graph,Flow Cost,Dual Cost,Time (sec),,,
41,nyc-1000,3.0254745,2.8186307,0.096931571960449,,,
42,nyc-1000,5.6933556,5.3833504,0.096931571960449,,,
43,nyc-1000,3.6629796,3.4714031,0.096931571960449,,,
44,nyc-1000,1.4882491,1.2850982,0.096931571960449,,,
45,nyc-1000,3.6983716,3.4264011,0.096931571960449,,,
46,nyc-1000,2.6590486,2.458632,0.096931571960449,,,
47,nyc-1000,7.7944794,7.469617,0.096931571960449,,,
48,nyc-1000,1.8659159,1.7111499,0.096931571960449,,,
49,nyc-1000,2.2773113,1.9672244,0.096931571960449,,,
50,nyc-1000,2.251339,2.0651243,0.096931571960449,,,
51,nyc-1000,2.6255655,2.3068807,0.096931571960449,,,
52,nyc-1000,4.2878637,4.018934,0.096931571960449,,,
53,nyc-1000,2.0901434,1.6315627,0.096931571960449,,,
54,nyc-1000,4.405285,4.088547,0.096931571960449,,,
55,nyc-1000,2.4731896,2.1046789,0.096931571960449,,,
56,nyc-1000,2.0992188,1.7618957,0.096931571960449,,,
57,nyc-1000,1.9831073,1.7888039,0.096931571960449,,,
58,nyc-1000,3.640253,3.3271375,0.096931571960449,,,
59,nyc-1000,2.571126,2.379938,0.096931571960449,,,
60,nyc-1000,2.1869667,1.8827782,0.096931571960449,,,
61,nyc-1000,2.6232233,2.319169,0.096931571960449,,,
62,nyc-1000,2.2795029,2.035809,0.096931571960449,,,
63,nyc-1000,3.1833363,2.7933152,0.096931571960449,,,
64,nyc-1000,3.2022274,2.8990822,0.096931571960449,,,
65,nyc-1000,2.288659,2.0622087,0.096931571960449,,,
66,nyc-1000,1.9734668,1.7372661,0.096931571960449,,,
67,nyc-1000,3.0628817,2.8708544,0.096931571960449,,,
68,nyc-1000,2.4106665,2.1873274,0.096931571960449,,,
69,nyc-1000,2.446846,2.1801815,0.096931571960449,,,
70,nyc-1000,1.9359818,1.5908005,0.096931571960449,,,
71,nyc-1000,3.1135864,2.9429512,0.096931571960449,,,
72,nyc-1000,2.6349626,2.3508277,0.096931571960449,,,
73,nyc-1000,4.772707,4.5112343,0.096931571960449,,,
74,nyc-1000,2.726876,2.527934,0.096931571960449,,,
75,nyc-1000,2.4929218,2.1789603,0.096931571960449,,,
76,nyc-1000,6.6099753,6.29535,0.096931571960449,,,
77,nyc-1000,3.8319163,3.462421,0.096931571960449,,,
78,nyc-1000,3.0362682,2.7145486,0.096931571960449,,,
79,nyc-1000,3.931644,3.6806889,0.096931571960449,,,
80,nyc-1000,3.1002367,2.8245354,0.096931571960449,,,
81,nyc-1000,2.4681106,2.0928538,0.096931571960449,,,
82,nyc-1000,1.5693269,1.3780706,0.096931571960449,,,
83,nyc-1000,1.6374688,1.4266472,0.096931571960449,,,
84,nyc-1000,1.4523304,1.2351831,0.096931571960449,,,
85,nyc-1000,2.4943323,2.1599636,0.096931571960449,,,
86,nyc-1000,3.1201334,2.7920966,0.096931571960449,,,
87,nyc-1000,3.104331,2.732957,0.096931571960449,,,
88,nyc-1000,1.6443146,1.3061349,0.096931571960449,,,
89,nyc-1000,2.4668953,2.253639,0.096931571960449,,,
90,nyc-1000,3.8494139,3.301012,0.096931571960449,,,
91,nyc-1000,3.398856,2.9496799,0.096931571960449,,,
92,nyc-1000,5.0566626,4.784802,0.096931571960449,,,
93,nyc-1000,2.847307,2.3856828,0.096931571960449,,,
94,nyc-1000,3.4001527,3.1692982,0.096931571960449,,,
95,nyc-1000,1.7946577,1.6344684,0.096931571960449,,,
96,nyc-1000,2.9226875,2.5690289,0.096931571960449,,,
97,nyc-1000,2.3259473,1.9238708,0.096931571960449,,,
98,nyc-1000,4.9880276,4.660228,0.096931571960449,,,
99,nyc-1000,1.8591118,1.6230584,0.096931571960449,,,
100,nyc-1000,3.2092292,2.7019198,0.038988385200501,,,
101,nyc-1000,2.2626038,1.9720156,0.038988385200501,,,
102,nyc-1000,4.0610933,3.813675,0.038988385200501,,,
103,nyc-1000,2.8097386,2.581821,0.038988385200501,,,
104,nyc-1000,4.325448,4.052928,0.038988385200501,,,
105,nyc-1000,1.8125072,1.5066841,0.038988385200501,,,
106,nyc-1000,2.3654141,2.027248,0.038988385200501,,,
107,nyc-1000,1.9527222,1.7291542,0.038988385200501,,,
108,nyc-1000,3.9759007,3.5746837,0.038988385200501,,,
109,nyc-1000,5.499363,5.20598,0.038988385200501,,,
110,nyc-1000,2.9730597,2.7206626,0.038988385200501,,,
111,nyc-1000,5.4971147,5.203367,0.038988385200501,,,
112,nyc-1000,1.9613581,1.7339693,0.038988385200501,,,
113,nyc-1000,3.7939448,3.5540628,0.038988385200501,,,
114,nyc-1000,2.2205632,2.0152664,0.038988385200501,,,
115,nyc-1000,2.128307,1.7363671,0.038988385200501,,,
116,nyc-1000,2.7294245,2.492021,0.038988385200501,,,
117,nyc-1000,2.907226,2.6723294,0.038988385200501,,,
118,nyc-1000,2.4121518,2.2065232,0.038988385200501,,,
119,nyc-1000,3.1805563,2.8404202,0.038988385200501,,,
120,nyc-1000,3.4321363,3.0214214,0.038988385200501,,,
121,nyc-1000,2.0676641,1.7750773,0.038988385200501,,,
