Index,Graph,Flow Cost,Time (sec),Num Iters,,
133,nyc-1000,3.08715741475897,6.83976626396179,7,,
134,nyc-1000,1.77502256265181,8.7964334487915,9,,
135,nyc-1000,2.76727737920118,5.00327873229981,5,,
136,nyc-1000,2.78727215223508,9.68266248703003,10,,
137,nyc-1000,3.15778783209887,4.95762920379639,5,,
138,nyc-1000,6.08522268457122,6.79941654205322,7,,
139,nyc-1000,2.17369474556574,9.62269830703735,10,,
140,nyc-1000,3.8308075521627,7.81379532814026,8,,
141,nyc-1000,3.5137004360784,3.98878645896912,4,,
142,nyc-1000,3.97559388600021,4.96749687194824,5,,
143,nyc-1000,6.82601011002443,4.00262832641602,4,,
144,nyc-1000,2.15271562072291,7.80311393737793,8,,
145,nyc-1000,2.10844319909281,6.7987904548645,7,,
146,nyc-1000,4.61241145190903,8.71005296707153,9,,
147,nyc-1000,2.33089721233098,7.81233215332031,8,,
148,nyc-1000,4.74086939935678,5.83683657646179,6,,
149,nyc-1000,2.49171891646065,3.99468779563904,4,,
150,nyc-1000,2.95642383025074,4.96064853668213,5,,
151,nyc-1000,2.21856320308355,5.85209131240845,6,,
152,nyc-1000,1.63508477116593,4.98047518730164,5,,
153,nyc-1000,1.32785242659951,8.73723530769348,9,,
154,nyc-1000,2.7176729278057,4.97062039375305,5,,
155,nyc-1000,1.47304384403857,7.71858930587769,8,,
156,nyc-1000,2.8399040385924,4.94830083847046,5,,
157,nyc-1000,1.72610106289219,7.81702160835266,8,,
158,nyc-1000,3.33249695810201,8.73886394500732,9,,
159,nyc-1000,1.30088315593901,12.45814204216,13,,
160,nyc-1000,3.43420260102682,8.88818287849426,9,,
161,nyc-1000,1.7782139552199,14.4148352146149,10,,
162,nyc-1000,2.91799613932344,12.1027803421021,12,,
163,nyc-1000,2.64068057292842,3.47923922538757,3,,
164,nyc-1000,2.4231725569508,6.87862396240234,6,,
165,nyc-1000,1.73276772035067,12.8665363788605,12,,
166,nyc-1000,1.43411482619938,7.27592158317566,7,,
167,nyc-1000,1.87642320672859,15.6595141887665,14,,
168,nyc-1000,2.38163634766655,7.45082402229309,7,,
169,nyc-1000,1.42965771343422,5.13409996032715,5,,
170,nyc-1000,3.42122982628024,5.43522524833679,5,,
171,nyc-1000,3.22111923040738,3.24659729003906,3,,
172,nyc-1000,2.52889495935426,6.17922520637512,6,,
173,nyc-1000,1.70246838425002,5.2858259677887,5,,
174,nyc-1000,2.8251224267849,17.3898866176605,17,,
175,nyc-1000,1.61870379689964,8.63941669464111,7,,
176,nyc-1000,2.25865952829766,3.46641254425049,3,,
177,nyc-1000,1.66580331163936,10.676013469696,10,,
178,nyc-1000,3.42929650592185,7.62023830413818,7,,
179,nyc-1000,4.68108361729235,7.06281995773315,6,,
180,nyc-1000,1.67623802838063,7.23305225372314,7,,
181,nyc-1000,1.99325859417957,8.39563703536987,8,,
182,nyc-1000,6.17859053045066,6.03931427001953,5,,
183,nyc-1000,3.18294533812344,6.26365661621094,5,,
184,nyc-1000,3.76647335925339,4.49115109443665,4,,
185,nyc-1000,1.88384921443576,8.90743017196655,7,,
186,nyc-1000,2.46718367033296,7.39472556114197,6,,
187,nyc-1000,2.29933286641584,7.35386824607849,6,,
188,nyc-1000,3.09106437484931,6.05674076080322,5,,
189,nyc-1000,2.17972821225112,6.04349398612976,5,,
190,nyc-1000,2.65009201257518,4.73901295661926,3,,
191,nyc-1000,4.41522433086744,5.73814702033997,5,,
192,nyc-1000,2.53284909712687,6.88031482696533,6,,
193,nyc-1000,3.02102237039254,7.88048100471497,6,,
194,nyc-1000,2.11024240337557,9.01671886444092,8,,
195,nyc-1000,2.14540545786465,6.81589341163635,6,,
196,nyc-1000,2.46228663852577,12.2589221000671,11,,
197,nyc-1000,4.88573201653315,6.8012969493866,6,,
198,nyc-1000,2.2326391517416,12.2998692989349,11,,
199,nyc-1000,1.75226290969134,11.1404056549072,10,,
200,nyc-1000,2.06060272531658,5.65551328659058,5,,
201,nyc-1000,3.24833298011288,10.1529955863953,9,,
202,nyc-1000,2.62363327452768,9.02214097976685,8,,
203,nyc-1000,1.73812245752144,11.1620151996613,10,,
204,nyc-1000,2.10115810095344,4.58954334259033,4,,
205,nyc-1000,1.87018045931397,7.88836169242859,7,,
206,nyc-1000,3.77400226229025,12.3192386627197,11,,
207,nyc-1000,2.97913424433856,8.47559762001038,7,,
208,nyc-1000,2.38881922433143,13.8372392654419,11,,
209,nyc-1000,2.64243243722051,13.3907589912415,11,,
210,nyc-1000,2.39564033184519,6.10654091835022,5,,
211,nyc-1000,2.22905567902905,7.35257458686829,6,,
212,nyc-1000,1.93750357159723,13.2026257514954,11,,
213,nyc-1000,2.93789547093858,4.89993119239807,4,,
214,nyc-1000,6.69427494491068,3.75629448890686,3,,
215,nyc-1000,1.58785960332976,9.44261622428894,8,,
216,nyc-1000,3.64201307312691,9.55842900276184,7,,
217,nyc-1000,2.78804640100429,5.36072516441345,4,,
218,nyc-1000,5.24731163780814,10.9664769172668,9,,
219,nyc-1000,1.46507673184406,8.59109497070313,7,,
220,nyc-1000,3.34439436127111,6.20068359375,5,,
221,nyc-1000,2.46412888486912,4.95234775543213,4,,
222,nyc-1000,1.56970895160621,23.0189862251282,19,,
223,nyc-1000,3.44885071877608,12.1253216266632,10,,
224,nyc-1000,2.12165594036237,9.77937936782837,8,,
225,nyc-1000,2.75978145124477,14.6005098819733,12,,
226,nyc-1000,2.80111668018785,13.3398756980896,11,,
227,nyc-1000,5.33163881821396,12.1881110668182,9,,
228,nyc-1000,2.9464728203442,16.1562094688416,13,,
229,nyc-1000,4.77746309944154,4.17103123664856,3,,
230,nyc-1000,1.67445217746658,6.88970685005188,5,,
231,nyc-1000,3.5279623606991,8.14341306686401,6,,
232,nyc-1000,2.88338914675875,5.17589402198792,4,,
233,nyc-1000,5.15772335934186,6.61468458175659,5,,
234,nyc-1000,3.75537618101247,10.1268956661224,8,,
235,nyc-1000,4.11911660523173,11.0483651161194,8,,
236,nyc-1000,2.22511624408147,10.6495893001556,7,,
237,nyc-1000,2.07663182025986,5.87852048873901,5,,
238,nyc-1000,2.06528833264317,8.83210897445679,7,,
239,nyc-1000,2.00390892016312,5.35046243667603,4,,
240,nyc-1000,2.18638775863982,11.7503805160522,10,,
241,nyc-1000,3.66305623078267,6.21114993095398,5,,
242,nyc-1000,3.18595856314606,6.16944003105164,5,,
243,nyc-1000,1.81971242882717,11.540717124939,9,,
244,nyc-1000,1.96323051740413,15.3572659492493,10,,
245,nyc-1000,2.28216022679258,5.48895883560181,5,,
246,nyc-1000,1.86761945394127,11.7711424827576,10,,
247,nyc-1000,4.176838304212,10.304452419281,9,,
248,nyc-1000,1.83358255154045,16.8185524940491,12,,
249,nyc-1000,2.53013198568565,13.4445819854736,11,,
250,nyc-1000,3.43963164426476,5.97010588645935,5,,
251,nyc-1000,2.4532440074977,4.78983068466187,4,,
252,nyc-1000,4.16524101926367,8.1601722240448,7,,
253,nyc-1000,2.11575132208325,4.76026177406311,4,,
254,nyc-1000,1.40194078413215,5.86836171150208,5,,
255,nyc-1000,1.57895633293329,5.87330460548401,5,,
256,nyc-1000,2.23586354754437,9.52059864997864,8,,
257,nyc-1000,2.10273206673515,5.91221356391907,5,,
258,nyc-1000,2.08056908334217,7.93543553352356,7,,
259,nyc-1000,3.18657815372179,4.06565928459168,4,,
260,nyc-1000,2.25282369196356,8.73007225990295,9,,
261,nyc-1000,1.94723223922721,16.2363510131836,17,,
262,nyc-1000,2.65937497265869,7.73985147476196,8,,
263,nyc-1000,4.45394065900029,9.85198402404785,10,,
264,nyc-1000,2.83611260086733,4.98292851448059,5,,
265,nyc-1000,1.42740569130563,7.84363269805908,8,,
266,nyc-1000,1.63888202523974,5.89647674560547,6,,
267,nyc-1000,2.6982809417693,4.93631887435913,5,,
268,nyc-1000,3.46043520557291,7.75989389419556,8,,
269,nyc-1000,4.20003449684486,4.91909313201904,5,,
270,nyc-1000,5.43377447918207,8.75622653961182,9,,
271,nyc-1000,3.45922133506567,5.82824563980103,6,,
272,nyc-1000,3.12444901407768,8.73524856567383,9,,
273,nyc-1000,3.45006535155604,9.66291260719299,10,,
274,nyc-1000,1.71334353645201,8.67806220054626,9,,
275,nyc-1000,3.25784721810518,7.85019421577454,8,,
276,nyc-1000,1.57768996699902,8.81154251098633,9,,
277,nyc-1000,2.89963940961616,4.1228768825531,4,,
278,nyc-1000,2.19141173554775,3.13684916496277,3,,
279,nyc-1000,2.02323344609937,6.82531881332397,7,,
280,nyc-1000,1.68956744548267,6.86441683769226,7,,
281,nyc-1000,2.66243686673044,5.83371782302856,6,,
282,nyc-1000,2.38938632364198,5.09633350372314,5,,
283,nyc-1000,3.27842424825805,8.67159199714661,9,,
284,nyc-1000,2.65413309301822,4.99865365028381,5,,
285,nyc-1000,2.63265395205094,4.99307298660278,5,,
