Test Instance,Graph,Flow Cost,Dual Cost,Time (sec),,
83,london-500,7.599592,7.051269,0.142668988704681,,
84,london-500,3.912578,3.2471857,0.142668988704681,,
85,london-500,6.211584,5.6053696,0.142668988704681,,
86,london-500,3.0906787,2.5390272,0.142668988704681,,
87,london-500,3.7537956,3.1035428,0.142668988704681,,
88,london-500,5.2371035,4.470537,0.142668988704681,,
89,london-500,3.1380982,2.6688876,0.142668988704681,,
90,london-500,3.4453723,2.8512444,0.142668988704681,,
91,london-500,3.2447083,2.600475,0.142668988704681,,
92,london-500,4.084586,3.6103008,0.142668988704681,,
93,london-500,3.2538524,2.6168246,0.142668988704681,,
94,london-500,4.654956,3.7594018,0.142668988704681,,
95,london-500,4.780149,4.324889,0.142668988704681,,
96,london-500,4.8133574,4.312535,0.142668988704681,,
97,london-500,3.3183422,2.630589,0.142668988704681,,
98,london-500,5.725333,4.510296,0.142668988704681,,
99,london-500,3.4905903,3.0695043,0.142668988704681,,
100,london-500,3.5264664,3.138979,0.040591220855713,,
101,london-500,6.7414517,6.168268,0.040591220855713,,
102,london-500,5.0214853,4.2884583,0.040591220855713,,
103,london-500,4.636029,4.0940247,0.040591220855713,,
104,london-500,5.255901,4.618142,0.040591220855713,,
105,london-500,3.283738,2.888588,0.040591220855713,,
106,london-500,6.507139,6.0728164,0.040591220855713,,
107,london-500,5.392303,4.9028325,0.040591220855713,,
108,london-500,4.6442485,4.0982366,0.040591220855713,,
109,london-500,3.4210863,2.96852,0.040591220855713,,
110,london-500,3.1111262,2.4892871,0.040591220855713,,
111,london-500,4.2916794,3.456252,0.040591220855713,,
112,london-500,5.0299964,4.2965927,0.040591220855713,,
113,london-500,2.9711533,2.4094505,0.040591220855713,,
114,london-500,3.3657694,2.8485708,0.040591220855713,,
115,london-500,6.794029,6.284433,0.040591220855713,,
116,london-500,4.4929414,3.8383937,0.040591220855713,,
117,london-500,5.286681,4.867781,0.040591220855713,,
118,london-500,3.3660865,2.8007455,0.040591220855713,,
119,london-500,4.2941236,3.7885532,0.040591220855713,,
120,london-500,2.675335,2.1016397,0.040591220855713,,
121,london-500,4.7318316,4.14132,0.040591220855713,,
122,london-500,7.0157714,6.3466535,0.040591220855713,,
123,london-500,6.1317844,5.485636,0.040591220855713,,
124,london-500,3.5975013,2.9851289,0.040591220855713,,
125,london-500,12.149747,11.386503,0.040591220855713,,
126,london-500,3.3629055,2.9724715,0.040591220855713,,
127,london-500,4.947348,4.4124312,0.040591220855713,,
128,london-500,4.225352,3.781677,0.040591220855713,,
129,london-500,4.126586,3.2069473,0.040591220855713,,
130,london-500,4.6257777,3.9869397,0.040591220855713,,
131,london-500,9.726488,9.162232,0.040591220855713,,
132,london-500,4.66154,4.149994,0.040591220855713,,
133,london-500,3.7130404,3.2366707,0.040591220855713,,
134,london-500,4.024248,3.5975327,0.040591220855713,,
135,london-500,3.635352,3.117412,0.040591220855713,,
136,london-500,3.428397,2.9592943,0.040591220855713,,
137,london-500,4.22786,3.702075,0.040591220855713,,
138,london-500,4.891148,3.7914574,0.040591220855713,,
139,london-500,3.9845386,3.2756658,0.040591220855713,,
140,london-500,3.5303361,2.6786623,0.040591220855713,,
141,london-500,4.0646873,3.404797,0.040591220855713,,
142,london-500,5.204094,4.7069845,0.040591220855713,,
143,london-500,6.8056107,5.792842,0.040591220855713,,
144,london-500,3.556182,3.0306997,0.040591220855713,,
145,london-500,4.135263,3.6884193,0.040591220855713,,
146,london-500,5.3207545,4.7635584,0.040591220855713,,
147,london-500,3.6316266,2.9739227,0.040591220855713,,
148,london-500,5.674385,5.041751,0.040591220855713,,
149,london-500,3.4311721,2.7382207,0.040591220855713,,
150,london-500,3.3040433,2.744267,0.040591220855713,,
151,london-500,4.172895,3.5141566,0.040591220855713,,
152,london-500,3.5715787,3.0625234,0.040591220855713,,
153,london-500,4.5490046,4.0708857,0.040591220855713,,
154,london-500,9.578883,8.671975,0.040591220855713,,
155,london-500,5.4262695,4.498191,0.040591220855713,,
156,london-500,3.830466,3.170268,0.040591220855713,,
157,london-500,4.3941116,3.8330264,0.040591220855713,,
158,london-500,4.3925753,3.6720111,0.040591220855713,,
159,london-500,5.974491,5.1224003,0.040591220855713,,
160,london-500,5.042312,4.476384,0.040591220855713,,
161,london-500,4.664258,3.9721704,0.040591220855713,,
162,london-500,7.274143,6.732028,0.040591220855713,,
163,london-500,5.086149,4.530957,0.040591220855713,,
164,london-500,3.730986,3.1372914,0.040591220855713,,
165,london-500,4.89824,4.4218,0.040591220855713,,
166,london-500,4.824441,4.2524796,0.040591220855713,,
167,london-500,6.647895,5.893831,0.040591220855713,,
168,london-500,3.7653275,3.214415,0.040591220855713,,
169,london-500,10.705372,10.05277,0.040591220855713,,
170,london-500,4.6121254,4.16565,0.040591220855713,,
171,london-500,5.5361166,4.975159,0.040591220855713,,
